English,Russian
run,бег
wanna,хочу
hard,жесткий
ah,ах
alone,один
myself,сам
school,школа
gone,ушел
um,гм
end,конец
saying,высказывание
phone,Телефон
play,играть в
looks,внешний вид
couldn,не мог
fucking,чертовски
problem,проблема
few,немного
friends,друзья
gotta,Должен
ago,назад
open,открытым
anyone,кто угодно
killed,убитый
hope,надеяться
face,лицо
until,до того как
lost,потерянный
police,полиция
excuse,извинение
turn,повернуть
business,бизнес
case,дело
wants,хочет
says,говорит
TRUE,ПРАВДА
die,умереть
heart,сердце
soon,скоро
each,каждый
worry,волноваться
later,потом
year,год
watch,смотреть
music,Музыка
hand,рука
having,имея
probably,вероятно
beautiful,красивая
doctor,врач
sit,сидеть
eat,есть
thinking,мышление
young,молодой
second,второй
working,работающий
water,воды
person,человек
part,часть
kids,Дети
late,поздно
stuff,вещи
exactly,в точку
under,под
death,смерть
minute,минута
pay,платить
crazy,сумасшедший
forget,забывать
everybody,все
kid,ребенок
change,изменение
gave,дал
happen,случаться
damn,черт
five,5
drink,напиток
far,далеко
knows,знает
its,это
whatever,что бы ни
eyes,глаза
shut,закрыть
aren,Арен
hit,ударил
taking,принимающий
easy,легкий
times,времена
check,чек об оплате
hands,Руки
minutes,минуты
deal,иметь дело
different,разные
means,средства
point,точка
inside,внутри
makes,производит
asked,спросил
somebody,кто-то
mine,мой
making,изготовление
body,тело
afraid,боятся
sleep,спать
chance,шанс
dear,Уважаемый
quite,довольно
four,четыре
anyway,так или иначе
close,Закрыть
ain,айн
party,партия
fun,веселье
against,против
word,слово
comes,приходит
important,важный
set,поставил
shall,должен
story,история
number,количество
daughter,дочь
least,наименее
waiting,ожидающий
hurt,повредить
wish,желание
moment,мгновенный
fight,борьба
week,неделя
husband,муж
girls,девушки
rest,остальные
married,в браке
fire,Пожар
game,игра
nobody,никто
mr,Мистер
children,дети
side,сторона
stand,стоять
read,читать
though,хоть
cut,резать
started,началось
sister,сестра
supposed,предполагаемый
between,между
child,ребенок
goes,идет
hours,часы
speak,разговаривать
women,женщины
behind,за
almost,почти
truth,правда
blood,кровь
able,способный
lady,леди
anymore,больше
playing,игра
gets,получает
shot,выстрелил
reason,причина
trouble,беда
break,сломать
war,война
city,город
walk,ходить
town,город
trust,доверять
dr.,доктор
met,встретились
office,офис
question,вопрос
brought,привел
yours,Ваш
welcome,добро пожаловать
high,высокий
wow,Вот это да
couple,пара
half,половина
died,умер
cool,здорово
free,свободно
either,либо
seems,кажется
power,мощность
whoa,ох
bye,до свидания
buy,купить
telling,рассказывающий
honey,медовый
tried,пытался
front,фронт
team,команда
answer,отвечать
gun,пистолет
boys,мальчики
line,линия
send,Отправить
news,Новости
stupid,тупой
bed,кровать
hurry,торопиться
full,полный
months,месяцы
save,спасти
sometimes,иногда
become,становиться
along,вместе
hate,ненавидеть
food,еда
outside,вне
light,свет
l,л
needs,потребности
dog,собака
country,страна
clear,Чисто
order,заказ
em,Эм
fact,факт
lord,господин
captain,капитан
six,шесть
hot,горячий
funny,забавный
black,черный
mrs.,Миссис.
alive,живой
pick,выбирать
feeling,чувство
living,жизнь
cause,причина
ahead,предстоящий
lose,терять
king,король
plan,строить планы
dinner,ужин
sighs,вздыхает
sort,Сортировать
leaving,уход
shouldn,должен не
running,Бег
boss,босс
alright,хорошо
promise,обещать
taken,взятый
safe,Безопасно
ma,магистр
book,книга
sent,послал
white,белый
hour,час
anybody,любой
small,небольшой
perfect,идеально
cause,причина
lives,жизни
special,особенный
parents,родители
s,с
john,Джон
himself,сам
perhaps,возможно
sounds,звуки
serious,серьезный
sick,больной
company,Компания
ha,ха
scared,напугана
uncle,дядя
poor,бедный
red,красный
past,мимо
earth,Земля
possible,возможное
shoot,стрелять
touch,трогать
sound,звук
top,Топ
ass,жопа
laughs,смеется
cannot,не могу
asking,спрашивающий
win,выиграть
glad,радостный
control,контроль
hmm,хм
human,человек
drive,привод
hair,волосы
jack,разъем
bitch,сука
luck,удача
murder,убийство
happens,случается
air,воздух
ten,10
daddy,папочка
finally,Ну наконец то
chuckles,смех
fast,быстрый
cold,холодно
seem,казаться
laughing,смеющийся
words,слова
hospital,больница
street,улица
hang,вешать
dance,танец
meeting,встреча
till,до
others,другие
catch,ловить
follow,следить
sense,смысл
sex,секс
lie,ложь
evening,вечер
master,владелец
known,известный
dream,мечтать
write,написать
million,миллион
voice,голос
sweet,сладкий
rather,скорее
felt,войлок
sign,подписать
lucky,везучий
somewhere,где-то
bet,ставка
o,о
jesus,Иисус
longer,дольше
calling,вызов
worked,работал
quiet,тихий
looked,смотрел
less,меньше
pull,тянуть
beat,бить
careful,осторожный
coffee,кофе
return,возвращаться
secret,секрет
weeks,недели
weren,был
date,дата
seeing,Видя
fall,Осень
given,данный
ooh,ох
fault,вина
straight,прямой
takes,принимает
song,песня
future,будущее
gentlemen,господа
loved,любил
changed,измененный
road,Дорога
calm,спокойствие
wonderful,чудесно
mad,Сумасшедший
turned,перевернутый
drop,уронить
ladies,дамы
learn,учить
step,шаг
absolutely,абсолютно
early,рано
explain,объяснять
clean,чистый
piece,кусок
yesterday,вчера
throw,бросать
picture,рисунок
land,земля
feet,ноги
wonder,удивляться
questions,вопросов
speaking,Говорящий
worth,стоит
darling,дорогой
dude,чувак
giving,дающий
president,президент
eye,глаз
quick,быстро
moving,движущийся
figure,фигура
state,государство
strong,сильный
sam,Сэм
none,никто
amazing,удивительно
ones,и
works,работает
act,действовать
needed,нужный
weird,странный
law,закон
worried,волновался
report,отчет
goodbye,до свидания
missing,отсутствующий
choice,выбор
happening,Происходит
chief,главный
wedding,свадьба
strange,странный
general,генеральный
pain,боль
am,являюсь
kidding,шутя
decided,приняли решение
ya,я
pass,проходят
tired,устала
class,класс
officer,офицер
kept,сохраняется
wake,будить
worse,худший
busy,занятый
eh,эх
mistake,ошибка
kiss,целовать
court,корт
building,здание
finish,финиш
during,в течение
age,возраст
ship,корабль
caught,пойманный
marry,выходит замуж
meant,имел в виду
sell,продавать
dark,темнота
watching,наблюдая
system,система
suppose,предполагать
evidence,доказательства
movie,кино
ride,поездка
t,Т
completely,полностью
mouth,рот
totally,полностью
birthday,день рождения
tv,Телевизор
forgive,простить
born,рожденный
imagine,представить
information,Информация
instead,вместо
definitely,определенно
security,безопасность
certainly,конечно
film,фильм
month,месяц
lying,врущий
unless,пока не
train,тренироваться
seven,Семь
wear,носить
clothes,одежда
michael,Майкл
hotel,отель
christmas,Рождество
attack,атака
hasn,Hasn
round,круглый
expect,ожидать
sing,петь
terrible,ужасный
george,Джордж
bag,сумка
history,история
blue,синий
near,возле
broke,сломанный
station,станция
seriously,шутки в сторону
forever,навсегда
david,Дэйвид
frank,откровенный
except,кроме
thinks,думает
message,сообщение
entire,весь
joe,Джо
table,стол
talked,говорили
across,через
rock,рок
lovely,прекрасный
handle,справиться
middle,середина
buddy,приятель
paid,оплаченный
protect,защищать
using,с использованием
floor,этаж
ran,пробег
swear,ругаться
spend,тратить
situation,ситуация
ring,звенеть
anywhere,в любом месте
dangerous,опасный
bill,законопроект
york,Йорк
army,армия
lead,Свинец
bought,купили
finished,законченный
fair,справедливый
sun,солнце
letter,письмо
fool,дурак
attention,внимание
club,клуб
simple,просто
interesting,интересный
space,Космос
test,контрольная работа
box,коробка
group,группа
single,не замужем
sitting,сидящий
marriage,свадьба
join,присоединиться
fear,страх
d,дюймовый
peace,мир
forgot,забыл
force,сила
short,короткая
normal,обычный
charlie,Чарли
present,настоящее время
enjoy,наслаждаться
mike,Майк
crime,преступление
horse,лошадь
ground,земля
american,американец
count,считать
area,область
charge,заряд
honor,честь
lunch,обед
miles,мили
radio,радио
idiot,идиот
ball,мяч
surprise,Сюрприз
paper,бумага
key,ключ
boat,лодка
quickly,быстро
gold,золото
bar,бар
fish,рыбы
mark,отметка
tom,Том
wearing,утомительный
crying,плач
accident,авария
government,правительство
eight,восемь
fell,упал
cover,крышка
certain,определенный
interested,заинтересован
deep,глубокий
star,звезда
sea,море
agree,дать согласие
problems,проблемы
detective,детектив
prison,тюрьма
major,основной
stick,палка
offer,предложение
difficult,трудный
smart,умный
personal,личный
record,записывать
stopped,остановился
hide,Спрятать
whether,будь то
bank,банк
trip,поездка
relax,расслабляться
america,Америка
public,публичный
list,список
afternoon,после полудня
brain,мозг
fix,исправить
bastard,сволочь
proud,гордый
tea,чай
service,служба
screaming,кричать
forward,вперед
angry,злой
park,парк
soul,душа
fighting,боевой
peter,Питер
rich,богатый
agent,агент
blow,дуть
paul,Павел
dress,одеваться
mary,Мэри
missed,пропущенный
scene,сцена
killing,убийство
standing,стоящий
saved,сохранил
mm,мм
respect,уважать
killer,убийца
ice,лед
mess,беспорядок
tough,жесткий
feels,чувствует себя
church,церковь
sad,грустный
cell,клетка
drunk,пьяный
share,Поделиться
camera,камера
mm-hmm,ммммм
within,в пределах
card,карта
fly,летать
ben,Бен
girlfriend,Подруга
laugh,смех
smell,запах
broken,сломанный
mum,мама
honest,честный
often,довольно часто
starting,начинающий
calls,вызовы
y,у
spent,потраченный
third,в третьих
english,английский
visit,посещать
mama,мама
judge,судить
window,окно
hungry,голодный
dare,осмеливаться
relationship,отношение
moved,взолнованный
prove,доказывать
private,частный
wall,стена
seat,сиденье
i-i,я-я
position,должность
lieutenant,лейтенант
realize,понимать
lt,лейтенант
especially,особенно
machine,машина
walking,гулять пешком
art,Изобразительное искусство
pleasure,удовольствие
bloody,кровавый
college,колледж
french,французкий язык
involved,участвует
cry,плакать
became,стал
lived,жил
impossible,невозможный
obviously,очевидно
neither,ни один
accept,принимать
boyfriend,дружок
besides,Помимо
queen,Королева
teacher,учитель
cops,полицейский
sake,сакэ
loves,любит
carry,нести
teach,учить
apartment,квартира
upset,расстройство
green,зеленый
la,Ла
liked,понравилось
cute,милый
evil,зло
professor,профессор
contact,контакт
joke,шутить
cop,полицейский
huge,огромный
holy,Святой
store,хранить
jail,тюрьма
likes,нравится
lawyer,адвокат
doubt,сомневаться
continue,Продолжить
appreciate,ценить
cat,кошка
shop,магазин
driving,вождение
congratulations,поздравляю
wrote,написал
village,деревня
quit,покидать
field,поле
james,Джеймс
wine,вино
decision,решение
south,юг
sleeping,спать
slow,медленный
laughter,смех
island,остров
glass,стекло
beginning,начало
cash,денежные средства
dying,умирающий
hundred,сотня
whose,чья
difference,разница
plane,самолет
push,толкать
continues,продолжается
mmm,М-м-м
singing,пение
eating,принимать пищу
north,север
mrs,Миссис
tree,дерево
madam,Госпожа
gift,подарок
truck,грузовая машина
putting,поставка
bear,медведь
board,доска
grab,схватить
beer,пиво
stuck,застрявший
magic,магия
support,поддерживать
rules,правила
grunts,ворчание
partner,партнер
reach,достигать
wind,ветер
colonel,полковник
max,Максимум
immediately,немедленно
seconds,секунды
thousand,тысяча
gives,дает
experience,опыт
cheers,ваше здоровье
victim,потерпевший
upon,на
computer,компьютерный
christ,Христос
planet,планета
promised,обещано
bus,автобус
henry,Генри
dirty,грязный
search,поиск
staying,остаться
dreams,сны
arrest,арест
holding,держа
suddenly,"вдруг, внезапно"
usually,как правило
lots,много
shoes,туфли
er,эр
jump,Прыгать
rid,избавлять
yo,Эй
knock,поступить
owe,быть должным
harry,Гарри
grow,расти
worst,наихудший
river,река
aunt,тетя
patient,пациент
kitchen,кухня
aah,ааа
fat,толстый
passed,прошедший
m,м
final,финал
summer,летом
bob,боб
listening,прослушивание
escape,побег
everywhere,повсюду
moon,луна
arms,оружие
turns,повороты
address,адрес
ow,Оу
match,совпадение
gasps,задыхаться
grand,гранд
yep,Ага
shh,трюк
nervous,нервный
de,де
choose,выбирать
themselves,сами себя
decide,решить
mate,приятель
drinking,питьевой
press,Нажмите
bother,беспокоить
foot,нога
hadn,Хадн
blame,обвинять
crap,дерьмо
drugs,наркотики
type,тип
rings,кольца
mission,миссия
named,названный
heaven,небеса
ii,II
picked,выбран
paris,Париж
race,гонка
risk,риск
books,книги
further,в дальнейшем
danny,Дэнни
action,действие
allowed,допустимый
orders,приказ
learned,научился
price,цена
arrived,приехал
nick,Ник
otherwise,в противном случае
pictures,фотографий
fit,поместиться
smoke,дымка
favor,услуга
played,играл
notice,уведомление
awesome,классно
smile,улыбка
director,директор
guard,сторожить
begin,начинать
spot,место
surprised,удивлен
innocent,невиновный
narrator,рассказчик
herself,сама
london,Лондон
feelings,чувства
enemy,враг
battle,боевой
ourselves,сами
alex,Алекс
dollars,доллары
allow,разрешать
nine,девять
gay,гей
department,отделение
guilty,виновный
apart,Кроме
earlier,ранее
duty,долг
jim,Джим
suit,подходить
bell,колокол
west,западный
legs,ноги
hero,герой
destroy,разрушать
stage,сцена
bunch,связка
according,согласно
chicken,курица
bigger,больше
grunting,ворчание
low,низкий
helping,Помощь
admit,признаться
closed,закрыто
names,имена
witness,свидетель
upstairs,вверх по лестнице
arm,рука
steal,воровать
jimmy,Джимми
kick,пинать
twice,дважды
cross,Пересекать
ways,Пути
sergeant,сержант
indeed,на самом деле
gas,газ
keeping,сохранение
energy,энергия
pregnant,беременная
waste,трата
helped,помог
fired,уволенный
favorite,любимый
tony,Тони
taste,вкус
locked,заперт
places,места
writing,письмо
adam,Адам
brothers,братья
starts,начинается
prince,принц
form,форма
sold,продал
silly,глупый
mention,упомянуть
build,строить
throat,горло
hole,дыра
figured,фигурный
track,отслеживать
ringing,кольцо
lock,замок
leg,нога
above,выше
hiding,прячется
steve,Стив
seemed,казался
breakfast,завтрак
engine,двигатель
written,написано
complete,полный
video,видео
applause,аплодисменты
however,Однако
pressure,давление
fresh,свежий
weapon,оружие
sky,небо
ms.,РС.
stole,украл
study,изучение
burn,гореть
reading,чтение
crowd,толпа людей
treat,обращаться
roll,рулон
double,двойной
spirit,дух
danger,Опасность
cost,Стоимость
empty,пустой
level,уровень
memory,объем памяти
itself,сам
acting,играет роль
interest,интерес
nose,нос
plans,планы
following,следующий
bathroom,ванная комната
built,построенный
closer,ближе
ray,луча
sarah,Сара
band,группа
groans,стоны
apparently,по всей видимости
excited,взволнованный
richard,Ричард
losing,проиграв
animals,животные
flight,полет
nature,природа
raise,поднимать
pop,поп
client,клиент
bomb,бомбить
neck,шея
suspect,подозревать
warm,теплый
extra,дополнительный
bottle,бутылка
van,фургон
heavy,тяжелый
mommy,мама
dogs,собак
wild,дикий
ridiculous,смешной
simply,просто
lee,Ли
animal,животное
showed,показано
billy,Билли
shooting,стрельба
keeps,сохраняется
camp,лагерь
guns,орудие
medical,медицинский
shame,стыд
hoping,в надежде
whom,кого
bird,птица
majesty,Величество
flowers,цветы
famous,известный
asleep,спящий
beauty,красота
driver,Водитель
keys,Ключи
rain,дождь
awful,ужасный
large,большой
local,местный
deserve,заслуживать
goddamn,Черт возьми
stone,камень
jane,Джейн
grace,Грейс
consider,учитывать
weekend,выходные дни
wondering,интересный
lay,класть
plenty,множество
willing,готовый
pants,штаны
sweetheart,дорогой
skin,кожа
excellent,отлично
asshole,Мудак
beach,пляж
c,в
faith,вера
beg,просить
fuckin,черт возьми
responsible,ответственный
military,военный
cheering,подбадривание
opportunity,возможность
common,общий
bottom,низ
german,Немецкий
whoever,Кто бы ни был
cook,готовить пищу
walked,ходил
papers,документы
justice,справедливость
hall,зал
commander,командир
drug,лекарство
main,главный
knife,нож
devil,дьявол
necessary,необходимо
although,хотя
princess,принцесса
lights,свет
flying,летающий
dick,Дик
rose,Роза
knowing,знание
clearly,четко
hat,шляпа
agreed,согласованный
johnny,Джонни
corner,угол
code,код
note,примечание
tommy,Томми
due,в связи
correct,правильный
apologize,принести извинения
language,язык
stars,звезда
faster,Быстрее
cars,машины
folks,близкие
bullshit,бред сивой кобылы
i.,я.
fellow,парень
several,несколько
grandma,бабушка
shows,шоу
leader,лидер
leaves,листья
restaurant,ресторан
east,восток
shouting,кричать
blind,слепой
ghost,призрак
cup,чашка
gotten,получил
tight,в обтяжку
conversation,беседа
tells,рассказывает
lies,вранье
nor,ни
pulled,вытянут
hanging,висящий
speed,скорость
stories,истории
health,здоровье
advice,совет
held,держал
uh-huh,Ага
murdered,убитый
beyond,вне
rule,правило
hardly,едва ли
possibly,возможно
inspector,инспектор
cousin,двоюродная сестра
trial,испытание
emergency,чрезвычайное происшествие
ought,должен
eddie,Эдди
somehow,как-то
hearing,слушание
states,состояния
account,учетная запись
spoke,говорил
file,файл
understood,понял
angel,Ангел
tape,лента
milk,молоко
powerful,мощный
weapons,оружие
practice,упражняться
manager,управляющий делами
pardon,помиловать
vote,голосование
jake,Джейк
national,национальный
career,карьера
minister,министр
super,супер
taught,учил
robert,Роберт
biggest,самый большой
plays,игры
natural,естественный
dancing,танцы
copy,копия
plus,плюс
martin,Мартин
cake,кекс
freedom,свобода
among,среди
breath,дыхание
operation,операция
chris,Крис
crew,экипаж
challenge,вызов
market,рынок
meat,мясо
towards,к
bringing,принесение
dropped,упавший
student,ученик
lied,лгали
strength,сила
size,размер
breathe,дышать
color,цвет
monster,монстр
loud,громкий
photo,Фото
aw,а -
nearly,Около
sight,достопримечательность
greatest,величайший
games,игры
bridge,мост
dressed,одетый
arrested,арестован
horrible,какой ужас
coach,тренер
planning,планирование
checked,проверял
breaking,разрыв
noticed,заметил
fantastic,фантастический
screams,крики
serve,обслуживать
ideas,идеи
investigation,изучение
center,центр
older,старший
pack,пакет
soldiers,солдаты
nonsense,бред какой то
doc,док
project,проект
training,подготовка
example,пример
trick,обманывать
prepared,готовый
science,наука
united,объединенная
travel,путешествовать
incredible,невероятный
grandpa,дедушка
paying,оплата
character,персонаж
teeth,зубы
criminal,уголовное
charles,Чарльз
chinese,Китайский
truly,действительно
honestly,честно говоря
bro,братан
survive,выживать
bobby,Бобби
target,цель
feed,кормить
nurse,медсестра
e,е -
fake,подделка
records,записи
breathing,дыхание
sweetie,милый
numbers,числа
oil,масло
suicide,самоубийство
belong,принадлежать
whoo,выросли
perfectly,отлично
amy,Эми
forgotten,забыто
remain,оставаться
original,оригинал
papa,папа
onto,на
concerned,обеспокоенный
credit,кредит
ugh,фу
invited,приглашен
discuss,обсуждать
research,исследовательская работа
easier,Полегче
view,Посмотреть
chair,стул
hurts,болит
strike,забастовка
roger,Роджер
fill,наполнять
condition,состояние
mountain,гора
dr,доктор
nowhere,нигде
sheriff,шериф
kim,Ким
turning,превращение
brown,коричневый
recognize,распознавать
heads,головы
audience,зрительская аудитория
all,все
jealous,ревнивый
pretend,притворяться
society,общество
finding,нахождение
shirt,Рубашка
comfortable,комфортный
meaning,значение
guest,гость
pieces,штуки
dry,сухой
letting,разрешение
began,началось
aye,да
jeff,Джефф
female,самка
release,релиз
ho,хо
cards,открытки
pray,молиться
unfortunately,к несчастью
balls,яйца
destroyed,уничтожен
ended,закончился
universe,вселенная
prepare,подготовить
opinion,мнение
movies,кино
soldier,солдат
wash,стирка
program,программа
heat,нагревать
usual,обычный
ticket,проездной билет
stolen,украденный
prefer,предпочитать
aware,осведомленный
surely,конечно
male,мужчина
base,база
matters,имеет значение
lift,поднимать
lab,лаборатория
command,командование
proof,доказательство
cream,пломбир
selling,продажа
believed,поверил
create,Создайте
h,час
afford,предоставлять
sunday,Воскресенье
total,общее
dumb,тупой
threw,выбросить
france,Франция
birth,рождение
created,созданный
realized,осуществленный
british,британский
noise,шум
nuts,орехи
students,ученики
birds,птицы
social,Социальное
brilliant,блестящий
bodies,тела
tie,галстук
opened,открыл
ours,наш
bucks,Бакс
kevin,Кевин
mister,Господин
ugly,уродливый
ryan,Райан
focus,фокус
dan,дэн
opens,открывается
exist,существует
followed,следовал
england,Англия
draw,рисовать
purpose,цель
letters,письма
daniel,Даниэль
opening,открытие
bullet,пуля
anna,Анна
lately,в последнее время
stayed,остался
falling,падение
season,сезон
ends,заканчивается
suggest,предлагать
joy,радость
distance,расстояние
responsibility,обязанность
whenever,когда бы ни
issue,проблема
thousands,тысячи
process,процесс
sword,меч
shower,душ
weak,слабый
fucked,трахается
lonely,Одинокий
happiness,счастье
eric,Эрик
tiny,крошечный
desk,стол письменный
pool,бассейн
property,имущество
forced,принужденный
settle,селиться
indistinct,нечеткий
weight,масса
received,полученный
gang,банда
bite,кусать
friday,пятница
disappeared,исчезнувший
interview,опрос
expecting,ожидая
kinda,вроде
surgery,операция
horses,лошади
mayor,мэр
babe,малышка
ancient,древний
handsome,красивый
thomas,Томас
saturday,суббота
staff,персонал
lines,линии
unit,Ед. изм
fan,вентилятор
gentleman,джентльмен
introduce,представлять
fate,судьба
split,расколоть
recently,недавно
expected,ожидал
add,Добавить
ordered,заказал
slowly,медленно
alarm,аварийная сигнализация
member,член
slept,спала
signed,подписанный
enter,входить
spanish,испанский
garden,сад
brings,приносит
brave,Храбрый
pig,свинья
model,модель
finger,Палец
medicine,лекарственное средство
access,доступ
failed,не удалось
flat,плоский
easily,с легкостью
discovered,обнаруженный
based,на основе
screw,винт
insane,безумный
cares,забота
weather,Погода
fingers,пальцы
san,Сан -
scott,Скотт
path,путь
soft,мягкий
harm,вред
style,стиль
community,сообщество
sees,видит
basically,в основном
al,Ал
signal,сигнал
nope,Нет
spare,запасной
speech,речь
covered,покрытый
shake,встряхнуть
loose,свободный
snow,снег
russian,русский
lake,озеро
bright,яркий
roof,крыша
ohh,ох
sending,отправка
paint,покрасить
remind,напоминать
pal,приятель
naked,голый
post,после
sugar,сахар
heading,заголовок
streets,Улицы
damage,наносить ущерб
silence,тишина
doors,двери
pete,Пит
ed,редакция
success,успех
wet,влажный
nah,Неа
amount,количество
members,члены
kate,Кейт
manage,управлять
safety,безопасность
returned,вернулся
harder,Сильнее
fbi,ФБР
block,блокировать
showing,показ
fancy,изысканный
chef,шеф -повар
contract,договор
dig,копать
chest,грудь
good-bye,до свидания
drinks,напитки
dave,Дэйв
buried,похороненный
brian,Брайан
trade,торговля
journey,путешествие
stomach,желудок
changes,изменения
details,подробности
thoughts,мысли
divorce,развод
funeral,похороны
maria,Мария
football,футбол
reality,реальность
theory,теория
gosh,чертовски
ruined,разрушен
gate,ворота
william,Уильям
spread,распространение
outta,Outta
japanese,японский язык
sudden,внезапный
coat,Пальто
sooner,раньше
cheese,сыр
larry,Ларри
spring,весна
page,страница
ears,уши
simon,Саймон
castle,замок
hidden,скрытый
storm,буря
cos,заселение
personally,лично
artist,художник
hill,холм
exciting,захватывающе
permission,разрешение
jerry,Джерри
expensive,дорого
tickets,Билеты
forest,лес
barely,едва
eggs,яйца
goin,иди в
regret,сожалеть
lesson,урок
lover,возлюбленный
bread,хлеб
andy,Энди
subject,предмет
legal,юридический
growing,растущий
ill,больной
jason,Джейсон
mood,настроение
owner,владелец
caused,вызванный
beeping,звуковой сигнал
points,точки
dating,знакомства
loss,потеря
secretary,секретарь
revenge,месть
santa,Санта
likely,вероятный
rent,арендная плата
connection,связь
assistant,помощник
reasons,Причины
yelling,кричать
painting,картина
trees,деревья
doctors,врачи
rush,порыв
foreign,иностранный
rough,грубый
murderer,убийца
century,век
nights,ночи
pair,пара
runs,пробеги
pocket,карман
farm,ферма
matt,матт
bike,велосипед
obvious,очевидный
ate,ел
grew,выросла
professional,профессионал
tim,Тим
goodness,добро
parts,части
alan,Алан
university,Университет
square,площадь
grandfather,дедушка
europe,Европа
genius,гениальность
cases,случаи
ruin,руина
winter,зима
tongue,язык
memories,воспоминания
da,дат
buying,Покупка
cancer,рак
clock,Часы
ocean,океан
dna,ДНК
liar,лжец
tour,тур
thief,вор
bleep,блин
lisa,Лиза
rights,Права
including,включая
competition,соревнование
smith,Смит
planned,запланировано
emily,Эмили
boring,скучный
victims,жертвы
mentioned,упомянул
bones,кости
plant,растение
bless,благословить
warning,предупреждение
knocking,стук
re,репутация
crash,крушение
bedroom,спальная комната
lower,ниже
silver,Серебряный
groaning,стон
madame,мадам
defense,защита
results,Результаты
toilet,туалет
event,событие
complicated,сложный
shape,форма
priest,священник
royal,Королевский
cheap,дешевый
romantic,романтик
downstairs,внизу
invite,приглашать
fortune,удача
tears,слезы
avoid,избегать
reached,достиг
higher,выше
familiar,знакомые
telephone,телефон
burning,сжигание
filled,заполненный
kelly,Келли
alice,Алиса
